Item,Count,Price,Link,Status
Molding Resin,1,9.85,https://www.amazon.com/Nicpro-Crystal-Starter-Painting-Pigment/dp/B087PKBYLX/ref=sr_1_9?crid=2I41YHNN347R9&dib=eyJ2IjoiMSJ9.5PURA2sEbiZKIaFEhi83YaC1lRousPuyhdKTi2waZizS0RLWqBOYQ-eOp9ULH0bmpEvqqlC-Z4SHTrZVmXctyIHoqyEq5-5iq8rQJKLPTNMI9s11V8gkH_00g-RnfE5Z69vCHPYxsmUB8ZBk_er0f4SO3yifhAwBD6P33dxcdSym3XXVlXFaGFEMOkWX6fbN8QvWc-S1-vWAr8du46jO0dKXjscHU4kJTxrQ9WsF4ojhQHD1WIVdxR_Yz3qs6AJy7jJC6AGDSp1emHJHyyvboWuuRzjjipXaIqfM8ZY3f9Y.8qoJE9yZNcnYRXbNlgJQb2hnLDt385x5YMhvPw2cm8s&dib_tag=se&keywords=epoxy%2Bresin&qid=1776138796&sprefix=epoxy%2Bresi%2Caps%2C171&sr=8-9&th=1 ,Need
Silicon,1,10.92,https://www.amazon.com/LETS-RESIN-Silicone-Flexible-Translucent/dp/B0B6CHKYGR/ref=sr_1_4_sspa?crid=1QIN23PW34CAV&dib=eyJ2IjoiMSJ9.SrE2NsBiBKI8zOQNf_XgyAIfUqBUshq35SoBi9fYLL8STaODH_Oo4HUSurAOhr_fqmau0dLlrXpSWP9x2H5sMXm3CToIlk_WJoXer7v9NC61IMoaSttyAU6w1qit2aczgd119GdEf5L8fb4RR9dtaq0h9jjacqcEXc7G9aQVs3E-tLbmxJbQqy1BPmkwJ67IuJjCM3BAjxiR8oW_hu090xAGAX9-yIkCj7ti0rkZLervAkWl3PbuljEWsp5fo3gFBd5QOgadbqMvGjcQckuFOYxlbZD15JxsYt3JbVYIBpo.wKwA3NhbsJO1CLc_-gYekDBI6IeupbuPDR6lhESzchQ&dib_tag=se&keywords=silicone%2Bfor%2Bmolds&qid=1776138648&sprefix=silicon%2Bfor%2Bmold%2Caps%2C204&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1 ,Need
Printing Resin,1,,,Had
